GAUGE_NO,STATION_NM,STATE,DA_SQ_KM,LON_SITE,LAT_SITE,LON_NHD,LAT_NHD,NHD2GAGE_D,BFIYRS,BFI_AVE,BFI_STDEV,GOTBFI,DAY1,DAYN,NDAYS,NDAYSGT0,MIN_,P1,P5,P10,P20,P25,P30,P40,P50,P60,P70,P75,P80,P90,P95,P99,MAX_,AVE,STDEV,GOTQ,HUC,startDT
12370000,"Swan River near Bigfork, MT",MT,1737.88329,-113.9798289,48.0243961,-113.9788208,48.02429962,76.569,82,0.831,0.051,1,19220501,20040930,30104,30104,193,284,331,362,419,450,477,547,631,788,1110,1420,1800,2850,3660,5240,8800,1153.173,1135.493,1,17010211,5/1/22
12383500,"Big Knife Creek near Arlee, MT",MT,17.8191312,-113.9742717,47.14742806,-113.9744263,47.14732361,16.502,25,0.895,0.025,1,19100801,20040930,9322,9322,1.7,3.5,3.9,4.3,5,5.4,5.8,6.8,8.2,9.6,12,13,15,22,30,44,78,11.156,8.844,1,17010212,8/1/10
12387450,"Valley Creek near Arlee, MT",MT,39.626847,-114.2306708,47.17020389,-114.2307968,47.17029953,14.286,13,0.836,0.031,1,19821000,20040930,5102,5102,5,5.8,6.4,6.9,7.9,8.4,8.8,9.8,11,13,16,19,21,31,42,74,110,16.016,13.28,1,17010212,1982-10-00
12381400,"South Fork Jocko River near Arlee, MT",MT,145.03944,-113.8506533,47.19548639,-113.8507309,47.19556046,10.102,22,0.78,0.069,1,19820928,20040930,8039,8039,2,4.5,7.5,9.4,12,13,15,18,23,30,46,59,81,153,218,398.6,1060,56.094,81.367,1,17010212,9/28/82
12388400,"Revais Creek below West Fork near Dixon, MT",MT,60.605766,-114.4067864,47.2663172,-114.4068451,47.26631546,4.47,22,0.739,0.076,1,19821000,20040930,8036,8036,2.5,3.4,3.8,4,4.5,4.9,5.2,6.2,7.3,8.8,12,15.75,22,47,68,146,316,17.777,27.606,1,17010212,1982-10-00
12388200,"Jocko River at Dixon, MT",MT,984.1962,-114.297618,47.31187389,-114.2973862,47.31212616,32.992,14,0.877,0.026,1,19900401,20040930,5297,5297,74,100,112,121,131,137,143,156,169,183,201,216,240,378.4,586.1,1100,2540,226.83,201.159,1,17010212,4/1/90
12377150,"Mission Creek above Reservoir near St Ignatius, MT",MT,32.115876,-113.9795475,47.3229869,-113.9794235,47.3228569,17.186,22,0.713,0.034,1,19820928,20040930,8039,8039,5.5,7,8.2,9,10,11,13,16,22,29,42,54,76,136,183,286.6,472,48.455,61.803,1,17010212,9/28/82
12388700,"Flathead River at Perma, MT",MT,22778.96205,-114.5851264,47.3674319,-114.5849915,47.36677551,73.268,21,0.843,0.052,1,19831001,20040930,7671,7671,2670,3930,4216,5372,6740,7340,8066,9090,10200,11300,12400,12900,13700,17000,24200,42200,53400,11384.052,6745.701,1,17010212,10/1/83
12375900,"South Crow Creek near Ronan, MT",MT,19.6062243,-114.0267742,47.4916,-114.0266113,47.49142075,23.339,22,0.768,0.053,1,19820929,20040930,8038,8038,3,5,5.6,6.1,6.7,7,7.4,8.4,9.5,11,16,20,26,52,71,107.61,276,19.646,23.657,1,17010212,9/29/82
12372000,"Flathead River near Polson, MT",MT,18378.56904,-114.246788,47.6802158,-114.246727,47.68029785,10.166,96,0.787,0.099,1,19070801,20040930,35339,35339,32,1800,2590,3130,4160,4670,5340,6780,8280,9930,11800,12800,14400,25200,35700,52700,82100,11465.444,10732.66,1,17010212,8/1/07
12374250,"Mill Creek above Bassoo Creek near Niarada, MT",MT,50.763804,-114.6976303,47.82966417,-114.6978607,47.82986069,27.792,22,0.762,0.08,1,19820801,20040930,8067,8067,1,1.6,1.8,2,2.3,2.4,2.5,2.8,3.3,4.1,6.4,8.1,11,19,29,57,155,7.849,11.531,1,17010212,8/1/82
12389000,"Clark Fork near Plains, MT",MT,51691.02042,-114.8559664,47.4296569,-114.8564682,47.42926788,57.435,94,0.85,0.067,1,19101000,20040930,34334,34334,3200,4620,5690,6500,8050,8800,9680,11400,13100,15200,17700,20500,25400,44150,62400,91465,133000,19510.451,18248.965,1,17010213,1910-10-00
12390700,"Prospect Creek at Thompson Falls, MT",MT,471.37818,-115.355153,47.5860461,-115.3551102,47.58610153,6.928,48,0.738,0.075,1,19560401,20040930,17715,17715,25,30,37,43,52,57,62,76,101,140,219,283,371,655,906.4,1510,4960,240.691,320.18,1,17010213,4/1/56
12389500,"Thompson River near Thompson Falls, MT",MT,1662.77358,-115.229593,47.59188056,-115.2295456,47.59186935,3.797,49,0.802,0.054,1,19110301,20040930,17929,17929,67,101,119,132,161,172,183,206,239,296,398,488,632,1090,1510,2590,5360,450.997,511.238,1,17010213,3/1/11
12391400,"Clark Fork below Noxon Rapids Dam near Noxon, MT",MT,56547.25167,-115.7337836,47.96104306,-115.7335053,47.96127319,32.915,44,0.646,0.072,1,19600601,20040930,16193,16193,60,3290,5727,7230,9750,10700,11600,13300,15000,16900,19800,22000,26000,40400,55600,86812,125000,20091.107,16558.391,1,17010213,6/1/60
12391950,"Clark Fork River below Cabinet Gorge Dam near Cabinet, ID",ID,nan,-116.0727778,48.08805556,-116.0736571,48.08723819,111.738,9,0.688,0.046,1,19951000,20040930,3288,3288,3330,5310,5790,6729,8740,9825,10970,13000,15200,18400,22700,26575,31700,43610,59210,103220,130000,21595.067,18642.558,1,17010213,1995-10-00
12392000,"Clark Fork at Whitehorse Rapids near Cabinet, ID",ID,57168.84927,-116.1176389,48.09300833,-116.1176453,48.0922966,78.46,76,0.734,0.107,1,19281001,20040930,27759,27759,762,4286,6030,7180,9150,10200,11200,13400,15600,18000,21600,24700,29600,47800,65100,95000,153000,21931.753,19236.429,1,17010213,10/1/28
12392155,"Lightning Creek near Clark Fork, ID",ID,298.366848,-116.183231,48.15103856,-116.1830978,48.15087509,20.605,15,0.515,0.087,1,19881001,20040930,5574,5545,0,3.575,8.375,14,26,35,50,94,145.5,235,365.5,484.25,673,1240,1750,2640,4970,408.524,607.828,1,17010213,10/1/88
12395000,"Priest River near Priest River, ID",ID,2336.17098,-116.9146429,48.20852,-116.9151764,48.2084465,40.822,78,0.82,0.065,1,19030700,20040930,28523,28523,160,189,264,334,461,528,603,792,999,1270,1730,2080,2560,4200,5510,7247.6,10700,1647.831,1663.077,1,17010215,1903-07-00
12394000,"Priest River near Coolin, ID",ID,1582.48389,-116.9004834,48.45186127,-116.9006195,48.45207214,25.343,56,0.758,0.084,1,19481001,20040930,20454,20454,38,69,115,192,317,386,450,577,735.5,954,1310,1560,1910,3410,4670,6160,9120,1277.146,1409.013,1,17010215,10/1/48
12395500,"Pend Oreille River near Newport, WA",ID,62677.758,-117.0343689,48.18212792,-117.0323181,48.18315506,191.026,74,0.832,0.076,1,19030700,20040930,27121,27121,2420,5116.6,7250,8640,11200,12600,13800,16200,18800,21700,25700,28400,33300,52200,70590,96378,135000,25042.862,19836.823,1,17010216,1903-07-00
12396500,"Pend Oreille River below Box Canyon near Ione, WA",WA,64490.751,-117.4163559,48.78102736,-117.4157486,48.78183746,99.85,52,0.808,0.046,1,19521001,20040930,18993,18993,82,5959.4,9010,11100,14000,15200,16200,18400,20700,23500,26900,28900,33400,51500,68200,96100,136000,26360.654,18739.985,1,17010216,10/1/52
12397100,"Outlet Creek near Metaline Falls, WA",WA,133.384485,-117.2877419,48.84492215,-117.2881088,48.84489059,27.467,44,0.638,0.148,1,19590101,20030930,16344,16344,1.5,2,3,6.1,15,18,19,22,25,33,56,81,129,245,299,436.55,842,74.718,103.536,1,17010216,1/1/59
12398000,"Sullivan Creek at Metaline Falls, WA",WA,367.77858,-117.3641331,48.8601981,-117.3660812,48.86101913,170.482,24,0.717,0.067,1,19531001,20030930,8926,8926,27,40,50,56,66,73,80,96.8,114,156,240,296,348,547,842,1514.6,4020,238.488,299.725,1,17010216,10/1/53
12398600,Pend Oreille River at International Boundary,WA,65267.748,-117.3535794,48.99881409,-117.3527832,48.99896622,61.308,39,0.76,0.051,1,19621201,20030930,14548,14543,0,5560,8940,11100,14100,15300,16400,18600,20900,23700,26800,29100,33100,48910,65400,99700,134000,26166.083,18489.597,1,17010216,12/1/62
