GAUGE_NO,STATION_NM,STATE,DA_SQ_KM,LON_SITE,LAT_SITE,LON_NHD,LAT_NHD,NHD2GAGE_D,BFIYRS,BFI_AVE,BFI_STDEV,GOTBFI,DAY1,DAYN,NDAYS,NDAYSGT0,MIN_,P1,P5,P10,P20,P25,P30,P40,P50,P60,P70,P75,P80,P90,P95,P99,MAX_,AVE,STDEV,GOTQ,HUC,startDT
6190540,"Boiling River at Mammoth, YNP",WY,nan,-110.6890986,44.98493556,-110.688385,44.98497772,56.398,9,0.979,0.007,1,19881001,20040930,3292,3292,19,21,22,23,24,25,25,26,27,27,28,28,29,30,31,33.07,36,26.572,2.809,1,10070001,10/1/88
6191000,"Gardner River near Mammoth, YNP",MT,523.17798,-110.6913211,44.99243556,-110.6910172,44.99243164,23.941,54,0.81,0.068,1,19381001,20040930,19907,19907,53,74,82,87,95,98,102,111,122,138,166,194,253,509,749.6,1230,1830,216.01,236.665,1,10070001,10/1/38
6187915,Soda Butte Creek at Silver Gate Park Boundary,MT,80.807688,-110.0018514,45.002995,-110.0019074,45.00286102,15.546,6,0.589,0.102,1,19981000,20040930,2192,2192,0.8,1,1.5,1.8,2.2,2.5,3.5,5,7.8,13,24,37,67,201.7,310.35,511.56,735,55.148,110.008,1,10070001,1998-10-00
6191500,"Yellowstone River at Corwin Springs, MT",MT,6783.18381,-110.7943814,45.1118797,-110.7936859,45.11217117,63.566,98,0.84,0.059,1,18890801,20040930,35917,35917,380,520,657,760,900,960,1020,1160,1400,1850,2660,3470,4600,8450,11400,17800,32000,3103.879,3769.406,1,10070002,1889-08-01
6192500,"Yellowstone River near Livingston, MT",MT,9197.05449,-110.5660394,45.59715806,-110.5665207,45.59723663,38.563,79,0.836,0.053,1,18970500,20040930,29160,29160,540,850,1010,1130,1280,1350,1430,1620,1890,2320,3180,3960,5160,9800,13400,20100,36000,3745.975,4268.66,1,10070002,1897-05-00
6200000,"Boulder River at Big Timber, MT",MT,1354.56477,-109.9387978,45.8341061,-109.9387207,45.83386993,26.902,56,0.605,0.092,1,19470401,20040930,20548,20548,12,39,80,100,120,129,137,156,180,218,298,393,609,1750,2765.5,4555.1,8540,565.332,951.159,1,10070002,4/1/47
6195600,"Shields River near Livingston ,MT",MT,2206.67148,-110.4799253,45.7382686,-110.4795456,45.73844528,35.491,26,0.695,0.065,1,19781001,20040930,9497,9497,20,36,58,70,85,91,99,113,135,163,207,254.5,329,670,1040,1870,4760,272.129,372.07,1,10070003,10/1/78
6214500,"Yellowstone River at Billings, MT",MT,30574.83195,-108.4673564,45.79995278,-108.4680328,45.80016327,57.589,77,0.771,0.054,1,19040601,20040930,28247,28247,450,1300,1820,2150,2520,2710,2900,3270,3700,4330,5510,6650,8720,17700,25300,39900,80100,6946.453,8126.039,1,10070004,6/1/04
6204050,"West Rosebud Creek near Roscoe, MT",MT,134.938479,-109.7312844,45.2429983,-109.7312927,45.2432785,31.169,39,0.769,0.095,1,19650901,20040930,14275,14275,2.5,16,26,34,44,51,59,72,80,97,132,159,177,222,351.2,629.48,1520,121.046,121.035,1,10070005,9/1/65
6205000,"Stillwater River near Absarokee, MT",MT,2525.24025,-109.3873875,45.5510533,-109.3879929,45.55147552,66.608,70,0.737,0.047,1,19091001,20040930,25705,25583,0,120,200,231,280,300,328,388,465,588,800,1020,1370,2640,3670,5800,10900,974.043,1211.74,1,10070005,10/1/09
6207500,"Clarks Fork Yellowstone River near Belfry, MT",MT,2988.84846,-109.0654219,45.010225,-109.0653915,45.01003265,21.537,83,0.635,0.077,1,19210801,20040930,30377,30377,33,76,140,170,202,219,231,260,300,370,561,802,1260,2870,4220,6870,12300,931.212,1438.652,1,10070006,8/1/21
6209500,"Rock Creek near Red Lodge, MT",MT,321.15876,-109.3299008,45.08609222,-109.3292626,45.08627022,53.958,55,0.771,0.046,1,19320501,20040930,20239,20239,14,20,26,29,33,35,38,47,65,102,172,224,278,474,646,1020,2370,170.669,222.375,1,10070006,5/1/32
6211500,"Willow Creek near Boyd, MT",MT,138.046467,-109.2304358,45.42216667,-109.2305145,45.42218018,6.341,43,0.723,0.056,1,19370522,20040930,15730,15728,0,3.2,9.4,14,21,23,25,29,34,39,46,50,56,70,87,160,1150,40.775,35.482,1,10070006,5/22/37
6211000,"Red Lodge Creek above Cooney Reservios near Boyd, MT",MT,370.36857,-109.2537703,45.4377222,-109.2533417,45.43789673,38.739,43,0.667,0.086,1,19370523,20040930,15788,15762,0,5,13,18,26,30,34,42,52,66,84,100,122,191,283,490,2000,86.244,103.495,1,10070006,5/23/37
6208500,"Clarks Fork Yellowstone River at Edgar, MT",MT,5236.95978,-108.8437547,45.46605917,-108.8441391,45.46583557,39.003,66,0.672,0.064,1,19210729,20040930,24171,24171,37,136,228,272,327,350,370,416,469,550,700,892,1260,2820,4080,6782.8,10600,1025.428,1364.766,1,10070006,7/29/21
6217700,"North Fork Crooked Creek tributary near Shepherd, MT",MT,17.7414315,-108.5006906,46.06662389,-108.499855,46.06638336,70.038,5,0.766,0.394,1,19920605,20030930,1965,1545,0,0,0,0,0,0.3,0.8,5.6,5.8,8.16,9.3,9.6,9.6,11,11,23,55,6.097,5.69,1,10070007,6/5/92
6216000,"Pryor Creek at Pryor, MT",MT,303.02883,-108.5342975,45.4349522,-108.5336838,45.43466949,57.384,40,0.875,0.074,1,19210619,20040930,14666,14666,3.2,7,11,15,19,21,22,25,27,29,32,35,38,48,61,130,1700,31.217,28.372,1,10070008,6/19/21
12301933,"Kootenai River below Libby Dam near Libby, MT",MT,23271.06015,-115.3207192,48.40079,-115.3187027,48.40066147,151.457,33,0.692,0.113,1,19711001,20040930,12054,12054,1900,2550,3010,3200,3980,4020,4100,6020,8230,11900,14800,16500,18600,21200,24400,28145,41200,10761.581,7366.562,1,17010101,10/1/71
12301300,"Tobacco River near Eureka, MT",MT,1139.5956,-115.0879458,48.89357556,-115.0878983,48.89362717,6.679,46,0.769,0.044,1,19581000,20040930,16802,16802,20,40,56,67,82,90,97,112,130,162,239,314,417,699,927,1360,2510,264.828,298.802,1,17010101,1958-10-00
12302055,"Fisher River near Libby, MT",MT,2170.41162,-115.314885,48.3555122,-115.3146896,48.35563278,19.75,37,0.728,0.056,1,19671001,20040930,13515,13515,35,60,84,97,116,125,136,162,207,284,448,586,742,1250,1760,2910,7790,477.227,619.222,1,17010102,10/1/67
12304500,"Yaak River near Troy, MT",MT,1983.93234,-115.97018,48.56188667,-115.9701767,48.56180191,9.33,48,0.669,0.077,1,19560301,20040930,17746,17746,49,77,100,119,150,163,179,220,284,403,678,904.25,1290,2560,3790,6150.6,11600,862.658,1296.344,1,17010103,3/1/56
12305000,"Kootenai River at Leonia, ID",ID,nan,-116.0474073,48.61771904,-116.0483246,48.61748886,72.903,55,0.784,0.065,1,19280324,19830930,20278,20276,0,2247.9,2900,3450,4350,4780,5200,6220,7860,10500,14800,17800,20900,33700,47000,70900,122000,14081.882,14897.064,1,17010104,3/24/28
12310100,"Kootenai River at Tribal Hatchery near Bonners Ferry, ID",ID,nan,-116.3697222,48.70527778,-116.3698502,48.70457459,77.915,2,0.813,0.059,1,20021001,20040930,731,731,4230,4463.2,4800,5000,5284,5570,6370,8790,10700,12700,14200,14900,16160,19480,22400,30104,31500,11521.218,6114.239,1,17010104,10/1/02
12322000,"Kootenai River at Porthill, ID",ID,35482.863,-116.5085448,48.99634071,-116.5086823,48.99702454,75.798,76,0.783,0.07,1,19281001,20040930,27759,27759,1380,2690,3530,4310,5380,5820,6320,7750,10200,13500,17700,20200,22700,34100,48900,76400,125000,15765.865,15250.098,1,17010104,10/1/28
12321500,"Boundary Creek near Porthill, ID",ID,251.22903,-116.5691039,48.99717201,-116.5687866,48.99704361,27.411,75,0.68,0.079,1,19280516,20040930,27540,27540,6,15,19,23,30,33,36,45,60,84,134,182,273,637.9,954,1510,3100,201.197,325.513,1,17010104,5/16/28
12306500,"Moyie River at Eastport, ID",ID,1476.2943,-116.1798167,48.99918611,-116.1804542,48.99924192,47.626,75,0.694,0.086,1,19290901,20040930,27424,27424,23,41,56,66,87,99,112,140,180,265,459.5,654,999,2240,3270,5107.5,8930,685.671,1113.321,1,17010105,9/1/29
12323240,"Blacktail Creek at Butte, MT",MT,247.085046,-112.5365697,45.99459583,-112.5357144,45.99472735,67.941,16,0.836,0.076,1,19881001,20040930,5844,5844,4.2,5.3,6.2,6.7,7.3,7.6,7.9,8.7,9.7,11,12,13,14,20,28,50,211,12.227,9.543,1,17010201,10/1/88
12323250,"Silver Bow Creek below Blacktail Creek at Butte, MT",MT,266.76897,-112.5628014,45.99687056,-112.5628738,45.9969368,9.254,21,0.873,0.046,1,19831001,20040930,7671,7671,8,12,14,15,16,16,17,18,19,21,22,24,25,32,41,65,258,22.169,10.934,1,17010201,10/1/83
12323720,"Willow Creek at Opportunity, MT",MT,nan,-112.8105928,46.10714778,-112.8106232,46.10719299,5.541,1,0.808,-999999,1,20030401,20040930,549,549,4,4.1,4.1,4.6,5.2,5.6,5.9,6.3,6.6,7.2,7.9,9.55,14,20,25,47.5,61,9.658,7.726,1,17010201,4/1/03
12323600,"Silver Bow Creek at Opportunity, MT",MT,940.16637,-112.8055925,46.1077033,-112.8053207,46.10780716,23.996,15,0.826,0.062,1,19880700,20040930,5606,5606,11,13,18,21,25,27,28,33.8,39,44,49,54,61,89,119,282.86,1300,50.431,50.138,1,17010201,1988-07-00
12323700,"Mill Creek at Opportunity, MT",MT,nan,-112.8206461,46.11430333,-112.819694,46.11453673,78.147,0,0,0,0,20030401,20030930,183,183,0.87,0.887,1.12,1.4,2,2.1,2.62,4.26,13,18.4,23,27,33,81.4,118.8,255.8,260,28.135,45.783,1,17010201,4/1/03
12323760,"Warm Springs Creek near Anaconda, MT",MT,nan,-112.903096,46.1335369,-112.9031525,46.13367844,16.301,7,0.86,0.043,1,19971001,20040930,2557,2557,15,30,40,42,47,50,53,58,65,72,83,88,95,122.2,189.2,310,598,79.896,53.895,1,17010201,10/1/97
12323750,"Silver Bow Creek at Warm Springs, MT",MT,1020.45606,-112.7814319,46.17942278,-112.7806022,46.17953618,65.416,18,0.801,0.085,1,19720313,20030930,6593,6593,15,19.94,27,34,47,53,58.2,70,81,97,120,133,157,234,332.3,633.06,1220,116.976,113.488,1,17010201,3/13/72
12323770,"Warm Springs Creek at Warm Springs, MT",MT,422.16837,-112.7859489,46.18030056,-112.7850774,46.1806596,78.31,21,0.74,0.081,1,19831001,20040930,7671,7669,0,0.61,3.86,7.6,18,22,25,30,37,43,50,56,64,95,152.4,287.84,475,49.584,52.871,1,17010201,10/1/83
12323800,"Clark Fork near Galen, MT",MT,1686.08349,-112.76726,46.20825889,-112.7673569,46.20826721,7.548,16,0.801,0.063,1,19880700,20040930,5936,5936,9.7,13.37,31,41,55,62,69,79,88,104,126,140,158,267,369.3,781.63,1210,128.891,133.039,1,17010201,1988-07-00
12323850,"Lost Creek near Galen, MT",MT,nan,-112.7739269,46.2179811,-112.773941,46.21835268,41.232,1,0.922,-999999,1,20030401,20040930,549,549,1.4,1.4,1.5,1.6,1.8,2.1,4.5,7.2,19,23,37,41,42,46,49,53.5,60,21.064,17.985,1,17010201,4/1/03
12324200,"Clark Fork at Deer Lodge, MT",MT,2577.04005,-112.7428167,46.397705,-112.7425766,46.39771271,18.534,26,0.835,0.049,1,19781001,20040930,9497,9497,22,27,51,90,137,152,167,190,217,250,285,301,326,402,565,1130,2390,254.433,193.699,1,17010201,10/1/78
12324590,"Little Blackfoot River near Garrison, MT",MT,1054.12593,-112.7933758,46.5196511,-112.7932053,46.51953125,18.674,32,0.719,0.076,1,19720926,20040930,11693,11693,6.5,15,30,38,46,50,55,63,74,91,118.8,143,181,366,548.3,1050,6280,150.293,224.359,1,17010201,9/26/72
12324680,"Clark Fork at Goldcreek, MT",MT,4558.3824,-112.928661,46.5904858,-112.9286957,46.59003067,50.5,27,0.808,0.053,1,19770920,20040930,9873,9873,55,78,146,188,245,270,290,329,376,431,510,558,633,903,1343,2685.2,9100,507.341,480.254,1,17010201,9/20/77
12331800,"Clark Fork near Drummond, MT",MT,6477.56499,-113.3309083,46.7121519,-113.3307724,46.71200943,18.915,11,0.815,0.045,1,19930401,20040930,4201,4201,77,139.04,211,274,375,407,438,500,556,616,702,765,866,1190,1640,3269.8,8430,696.827,567.807,1,17010201,4/1/93
12334550,"Clark Fork at Turah Bridge near Bonner, MT",MT,9430.15359,-113.8142678,46.8260375,-113.8140411,46.82598114,18.452,20,0.831,0.041,1,19841001,20040930,7305,7305,200,277,425.3,500,611,651,687,765,841,954,1100,1210,1430,2290,3097,6203.4,9530,1183.772,1060.175,1,17010201,10/1/84
12332000,"Middle Fork Rock Creek near Philipsburg, MT",MT,318.56877,-113.5024736,46.18449278,-113.501649,46.18456984,64.362,66,0.735,0.089,1,19371001,20030930,24106,24106,5.3,16,24,27,32,35,36,41,47,58,79,103,148.6,325,500,869,1480,118.456,174.543,1,17010202,10/1/37
12325500,"Flint Creek near Southern Cross, MT",MT,136.233474,-113.2997833,46.23298056,-113.2998657,46.23279572,21.47,62,0.882,0.084,1,19401001,20040930,22706,22705,0,3.6,4.9,7,13,14,16,26,28,30,31,32,34,50,76,126,172,29.294,22.798,1,17010202,10/1/40
12329500,"Flint Creek at Maxville, MT",MT,538.71792,-113.2397869,46.46381556,-113.2402649,46.46380615,36.835,63,0.815,0.039,1,19410729,20040930,23069,23069,15,27,36,43,54,58,62,70,79,90,104,113,124,166,218,368,933,96.575,65.326,1,17010202,7/29/41
12330000,"Boulder Creek at Maxville, MT",MT,184.666287,-113.2339533,46.47214889,-113.2358093,46.47169495,151.553,65,0.723,0.077,1,19390500,20040930,23895,23895,2.8,6.1,10,12,16,17,18,20,22,24,30,36,48,108,182,331,1140,44.623,64.295,1,17010202,1939-05-00
12331500,"Flint Creek near Drummond, MT",MT,1269.0951,-113.1508964,46.6288186,-113.1507187,46.62878418,14.178,15,0.741,0.062,1,19471020,20040930,5580,5580,0.59,3.881,10,22,50,62,71,90,100,113,133,148,164,224,332,752,1800,126.035,128.212,1,17010202,10/20/47
12334510,"Rock Creek near Clinton, MT",MT,2292.14115,-113.68315,46.7224269,-113.6831513,46.72242737,0.109,31,0.779,0.06,1,19721001,20030930,11322,11322,38,95,130,151,177,188.75,200,227,263.5,309,400,497.25,654.4,1240,1930,3607.7,5480,520.101,673.286,1,17010202,10/1/72
12335500,"Nevada Creek above Reservoir near Helmville, MT",MT,300.43884,-112.7675439,46.77826941,-112.7677536,46.7777977,54.653,65,0.597,0.086,1,19390500,20040930,23895,23895,2,3.6,5,6.4,8.8,9.9,11,13,15,18,25,31,42,86,140,292,1240,35.12,58.712,1,17010203,1939-05-00
12340500,"Clark Fork above Missoula, MT",MT,15537.35001,-113.9323286,46.8771469,-113.9319305,46.87725449,32.717,75,0.804,0.05,1,19290301,20040930,27608,27608,340,634,861,1000,1190,1260,1340,1490,1660,1910,2400,2950,3830,6860,9870,16400,30800,2924.732,3203.792,1,17010203,3/1/29
12337800,"Nevada Creek at Mouth near Helmville, MT",MT,nan,-113.0386675,46.89160306,-113.0384293,46.89160156,18.234,3,0.719,0.059,1,20011001,20040930,1096,1096,6,12,16,19,20,21,22,23,25,28,35,40,45,71,107,224,500,39.13,40.798,1,17010203,10/1/01
12340000,"Blackfoot River near Bonner, MT",MT,5931.0771,-113.7564872,46.89965,-113.7563248,46.89945602,24.811,70,0.812,0.058,1,18980701,20040930,25726,25726,200,320,405,450,520,550,580,647,740,897,1210,1580,2160,4130,6060,9900,18000,1597.283,2015.773,1,17010203,1898-07-01
12335100,"Blackfoot River above Nevada Creek near Helmville, MT",MT,1279.45506,-113.0153322,46.91910417,-113.0150375,46.91884613,36.386,5,0.849,0.055,1,19991001,20040930,1827,1827,90,100,120,130,137,140,144,150,163,176,210,250,348,615.2,765.6,1497.2,1820,272.889,265.117,1,17010203,10/1/99
