,daylength,sw_rad_mean,sw_rad_stdDev,tmax_max,tmax_mean,tmax_min,tmax_stdDev,tmin_max,tmin_mean,tmin_min,tmin_stdDev,vp_mean,vp_stdDev,p_max,p_mean,p_min,p_stdDev,p_sum,prism_tmax_max,prism_tmax_mean,prism_tmax_min,prism_tmax_stdDev,prism_tmin_max,prism_tmin_mean,prism_tmin_min,prism_tmin_stdDev,tdmean_max,tdmean_mean,tdmean_min,tdmean_stdDev,vpd_max_max,vpd_max_mean,vpd_max_min,vpd_max_stdDev,vpd_min_max,vpd_min_mean,vpd_min_min,vpd_min_stdDev,scf,Q_06186500,Q_06187950,Q_06188000,Q_06190540,Q_06191000,Q_06187915,Q_06191500,Q_06192500,Q_06200000,Q_06195600,Q_06214500,Q_06204050,Q_06205000,Q_06207500,Q_06209500,Q_06211500,Q_06211000,Q_06208500,Q_06217700,Q_06216000
2000-06-01,55147.95280336796,586.8326329007873,30.387585770577125,29.16549021423158,22.988202967287364,14.73160957672271,4.6135838799935005,9.426937638927724,4.622722267256567,-1.1619542965599243,3.666902381993733,625.8285566146864,131.66612849525455,1.1873128963766706,0.014468062312347818,0.0,0.09475943393897887,4.441331762613727,28.33208072415089,21.493713694617053,13.884101743609381,4.945114442272389,9.639858326401047,4.2540134195452675,-0.808421952053771,3.5486338626809126,3.533076607296626,0.8046388835411952,-2.7391593049414693,2.070518484558156,5.635066252477517,2.3397338812356088,0.8630126779486498,1.6685004036891466,5.635066252477517,2.3397338812356088,0.8630126779486498,1.6685004036891466,0.6299650460881918,3370.0,693.3333333333334,5483.333333333333,,620.0,374.0,12100.0,13366.666666666666,1820.0,252.33333333333334,20566.666666666668,99.66666666666667,2156.6666666666665,3943.3333333333335,379.6666666666667,44.333333333333336,71.33333333333333,3833.3333333333335,9.0,17.333333333333332
2000-06-08,55539.58797042852,420.49093325616525,87.24956217019249,27.315504250106372,19.72097903762333,15.497448899804676,3.7496689021478655,9.932690491611792,6.820596140546856,4.378133286711268,1.8280825580343865,813.5005978356148,104.45620372918957,4.525347706026832,0.10292935099433308,0.0,0.40772850022993024,34.33237843015857,29.273702024865862,20.487361327075554,14.930687235246134,4.982944325592696,10.747933584958599,7.248022632531932,4.74578254847427,2.0698126291815013,4.730904945132352,2.0932503137043508,-1.2134544014181108,1.8849799436059829,6.435222704395393,2.9235726543347136,1.0814551135869854,1.9045611404573952,6.435222704395393,2.9235726543347136,1.0814551135869854,1.9045611404573952,0.36183278452014106,3887.1428571428573,831.8571428571429,5565.714285714285,,567.1428571428571,483.0,12971.42857142857,14628.57142857143,3060.0,313.57142857142856,24142.85714285714,105.85714285714286,3178.5714285714284,4948.571428571428,521.0,30.428571428571427,48.285714285714285,4590.0,9.0,16.857142857142858
2000-06-15,55713.6669766983,421.69348142035363,102.93667668685123,23.16763003278831,17.942256800526508,13.09650310823519,3.491192993266828,6.693311815578854,4.431193061196288,2.048051812114513,1.6298468641648358,758.2519120955168,122.54004378437574,4.513067570507446,0.09898119545043108,0.0,0.40845748461084896,32.029151208777854,24.459731982392267,16.705884521766947,12.827900056326053,3.743649066841354,7.5144292799442995,4.63212476670924,2.2537644454497614,1.7898900267630344,4.388531198512639,1.5733518585273047,-0.33124671381645016,1.675095187483481,3.160625996715353,1.5368934646326569,0.5981770797482431,0.8592741910433069,3.160625996715353,1.5368934646326569,0.5981770797482431,0.8592741910433069,0.25345879636728885,4215.714285714285,626.7142857142857,3521.4285714285716,,453.57142857142856,295.0,10191.42857142857,11600.0,2090.0,242.28571428571428,18400.0,159.42857142857142,2200.0,3218.5714285714284,385.2857142857143,41.0,52.857142857142854,3201.4285714285716,9.0,19.0
2000-06-22,55675.2379856606,473.4922497548985,67.87266784459271,23.875314690820016,21.15356393120728,17.72230370715063,2.267686077224395,8.487472173115474,6.190426331095343,3.3985872390265546,1.7913054567658315,839.3836224109149,123.57405187230906,3.5307833741276724,0.06624368725947732,0.0,0.32838663401711604,21.901158303954002,24.202476097781172,20.89655362932784,16.594614184665588,2.829298759461053,8.304287816174575,6.352368376195337,3.969372189751149,1.5558778363114842,5.958946470848414,3.740818168817962,1.8198773469399363,1.3549979852138418,3.9109408697426944,1.5402730401478169,0.4133782785102348,1.1273604556290284,3.9109408697426944,1.5402730401478169,0.4133782785102348,1.1273604556290284,0.4124340880467622,4055.714285714286,539.2857142857143,2910.0,,368.2857142857143,274.57142857142856,8987.142857142857,9802.857142857143,1852.857142857143,291.42857142857144,15671.42857142857,129.57142857142858,2011.4285714285713,2637.1428571428573,345.0,66.85714285714286,67.71428571428571,2690.0,9.0,18.142857142857142
2000-06-29,55422.306832262766,498.6361914461952,57.24631897111214,28.10673488981483,25.41238559991137,21.685134080827986,2.06040925177037,10.539300026987576,8.259268234504074,6.001514351084857,1.3531296053084714,923.8451974089163,110.70979879286743,3.1540119529020174,0.055150962841840366,0.0,0.2659933102401016,18.53072352826354,28.46820329673367,24.97179115829009,20.741158757048787,2.4024814972691697,10.522667256132005,8.342982457088535,5.943028909185836,1.411711357971163,6.964629262261987,4.08955394945862,1.51141105547817,2.0750049577378444,6.219394535183781,2.7900764996702923,1.1083346827189555,1.7641127949704627,6.219394535183781,2.7900764996702923,1.1083346827189555,1.7641127949704627,0.4559143027593266,3785.714285714286,450.7142857142857,2075.714285714286,,305.42857142857144,245.14285714285714,7315.714285714285,8034.285714285715,1802.857142857143,250.71428571428572,14771.42857142857,192.0,2348.5714285714284,2774.285714285714,389.42857142857144,75.71428571428571,94.57142857142857,2654.285714285714,9.0,17.285714285714285
2000-07-06,54959.24382220351,511.34558687132693,34.64263822674029,29.4549471019522,26.437634005382037,24.33195213439581,1.6070412645818128,10.90460092597086,8.995714920447677,7.39448802115814,1.16894022980296,959.4793245906708,93.29965654071907,1.7136443373781822,0.015415937610987815,0.0,0.12226078375446604,5.17975503309903,27.585386379145433,25.90660514262361,24.04328965775281,1.1140814047757346,10.758220576403703,8.844861012255059,7.199351424254731,1.17087031013731,6.867544292701076,4.700398629891317,2.226962811768189,1.6411675263040633,4.662758964497347,2.8450561581173317,1.3800523526561557,1.0836525578982306,4.662758964497347,2.8450561581173317,1.3800523526561557,1.0836525578982306,0.3639070968548108,3385.714285714286,325.2857142857143,1270.0,,230.85714285714286,196.71428571428572,5511.428571428572,6108.571428571428,1320.857142857143,204.42857142857142,11422.857142857143,236.71428571428572,1905.7142857142858,2082.8571428571427,372.2857142857143,72.0,97.85714285714286,1932.857142857143,8.814285714285715,17.285714285714285
2000-07-13,54312.48358311059,428.64151832649765,91.3106571350959,32.839230850963375,26.99408166115581,21.51964007187523,4.4691461297728745,13.444625937686725,11.242376994531384,9.400906061847786,1.3854554933763248,1180.182865464232,106.52055736018141,2.4945084091570533,0.04282417480316409,0.0,0.21396615073207795,14.38892271453276,32.75052082714359,27.52336621590157,20.879233896722766,4.477576667423931,14.052785418666597,11.555013779431025,9.666716492739273,1.4161266123550225,7.948274629181105,3.5351636248777503,0.09388294388278487,2.87313866443334,11.109650711586204,6.020869165866707,1.1893570148715362,3.394550006988976,11.109650711586204,6.020869165866707,1.1893570148715362,3.394550006988976,0.3792365980117667,2962.8571428571427,226.28571428571428,802.5714285714286,,199.0,125.71428571428571,4238.571428571428,4818.571428571428,782.5714285714286,124.42857142857143,7900.0,290.57142857142856,1508.5714285714287,1431.4285714285713,340.2857142857143,57.857142857142854,64.71428571428571,1154.5714285714287,8.8,10.257142857142858
2000-07-20,53490.99145063081,485.83502363120283,39.353083879690814,30.93036746060092,28.155115793274216,24.22543053916037,2.2112699927703154,12.021654214406546,9.467814069991077,7.729065386044104,1.4880696841640628,1003.8016079254494,109.08487578599508,2.3950444129972217,0.025042384353587584,0.0,0.1780299032244502,8.414241157786382,31.136193898647925,27.36106502170547,22.97777660204295,2.7148972471529085,12.077778931039978,9.602118157712448,8.045186652771878,1.3884758251090514,6.422899078386272,2.4089740397642627,-1.856739054206732,2.853789363681252,8.491838809079987,4.910719038815348,1.4331554158520448,2.5687333291581225,8.491838809079987,4.910719038815348,1.4331554158520448,2.5687333291581225,0.5413904288637296,2600.0,167.85714285714286,609.5714285714286,,185.71428571428572,86.14285714285714,3580.0,4232.857142857143,450.85714285714283,60.0,6367.142857142857,246.0,1241.4285714285713,1076.857142857143,306.7142857142857,51.0,46.57142857142857,955.2857142857143,,7.428571428571429
2000-07-27,52533.470879252425,460.5363732009992,24.34874571900857,33.07689487342902,31.561101650426245,29.675394354241327,1.1403669673097594,15.180427303264528,13.18685499484874,11.45934674597964,1.1479857751189466,1259.8894437184588,117.98610185965212,1.1872453152649036,0.013758807095457916,0.0,0.08901037162728694,4.622959187239295,33.12214909791504,31.467959606162893,29.684718721987966,1.181042246934237,14.64616307187454,13.109012189990736,11.674574744520507,0.97491703854985,6.531787957043649,3.3329477841097583,1.9554675364873544,1.6062713699940845,10.792361117456023,8.242234714416456,5.900327617292158,1.6629579405218102,10.792361117456023,8.242234714416456,5.900327617292158,1.6629579405218102,,2222.8571428571427,119.14285714285714,406.0,,165.57142857142858,56.57142857142857,3011.4285714285716,3600.0,245.71428571428572,47.857142857142854,4838.571428571428,199.85714285714286,873.0,661.7142857142857,249.0,49.285714285714285,34.57142857142857,582.8571428571429,,6.3999999999999995
2000-08-03,51458.880318331794,417.6848317024472,62.185865735835456,31.153969936398386,27.66437567196575,24.738999672496373,2.110205245875964,12.605800726815078,10.809417698120358,8.796566118985815,1.3040203257646343,1117.5957927885524,149.33416080366013,1.4055864675381982,0.014914311221747032,0.0,0.10590018142953307,5.011208573765044,29.57792386181909,27.301802182443264,24.168708986291517,1.9510207307918743,13.120173388056536,11.188354202368947,9.353301450704297,1.3159324495687028,8.974787140020101,4.3415478127534595,0.19959508684890007,2.860589502786232,7.102906316358265,4.680469680540582,1.6943918296969207,1.775543599213238,7.102906316358265,4.680469680540582,1.6943918296969207,1.775543599213238,,1870.0,101.52857142857144,337.0,,147.57142857142858,44.0,2645.714285714286,2945.714285714286,143.57142857142858,36.0,3680.0,191.28571428571428,692.1428571428571,467.7142857142857,273.2857142857143,35.285714285714285,23.571428571428573,426.2857142857143,,7.957142857142856
