SITE_NO,area_sqkm,missing_data,huc6,huc8,huc6_ts_max,huc6_ts_med,huc6_tts_max,huc6_tts_med,huc8_ts_max,huc8_ts_med,huc8_tts_max,huc8_tts_med
12323800,1686.08349,0.147852148,170102,17010201,0.598,0.527,0.522,0.396,0.594,0.47,0.544,0.417
12323850,,0.264735265,170102,17010201,0.512,0.483,0.734,0.639,0.487,0.458,0.657,0.626
12324200,2577.04005,0.147852148,170102,17010201,0.453,0.4,0.441,0.287,0.486,0.363,0.477,0.322
12324590,1054.12593,0.165834166,170102,17010201,0.533,-0.006,0.583,-11195.9065,0.551,-0.004,0.583,-2479.343
12324680,4558.3824,0.147852148,170102,17010201,0.545,0.445,0.563,0.3725,0.595,0.448,0.533,0.394
12331800,6477.56499,0.147852148,170102,17010201,0.52,0.428,0.494,0.337,0.566,0.416,0.512,0.364
12334550,9430.15359,0.147852148,170102,17010201,0.612,0.534,0.634,0.485,0.641,0.49,0.605,0.4555
12332000,318.56877,0.158841159,170102,17010202,0.747,0.685,0.748,0.645,0.685,0.625,0.733,0.605
12325500,136.233474,0.356643357,170102,17010202,0.185,0.055,0.43,0.348,0.356,0.074,0.436,0.36
12329500,538.71792,0.158841159,170102,17010202,0.503,0.459,0.514,0.389,0.492,0.3985,0.507,0.379
12330000,184.666287,0.153846154,170102,17010202,0.692,-0.01,0.693,-1022785.574,0.667,-0.011,0.738,-390765.506
12331500,1269.0951,0.247752248,170102,17010202,0.426,0.3145,0.453,0.179,0.418,0.307,0.369,0.231
12334510,2292.14115,0.140859141,170102,17010202,0.701,0.661,0.727,0.597,0.672,0.59,0.708,0.552
12335500,300.43884,0.162837163,170102,17010203,0.444,-0.027,0.765,-0.004,0.458,-0.022,0.479,-16.291
12340500,15537.35001,0.144855145,170102,17010203,0.651,0.563,0.73,0.586,0.666,0.5905,0.708,0.581
12337800,,0.692307692,170102,17010203,0.347,0.136,0.524,0.2905,0.412,0.1395,0.463,0.2625
12340000,5931.0771,0.144855145,170102,17010203,0.658,0.592,0.726,0.5995,0.668,0.605,0.708,0.598
12335100,1279.45506,0.187812188,170102,17010203,0.714,0.6665,0.689,0.5695,0.739,0.567,0.724,0.616
12338300,,0.173826174,170102,17010203,0.745,0.712,0.726,0.6095,0.736,0.632,0.72,0.595
12353000,23317.67997,0.115884116,170102,17010204,0.699,0.632,0.772,0.634,0.662,0.608,0.712,0.591
12354000,784.76697,0.190809191,170102,17010204,0.639,0.597,0.692,0.561,0.674,0.63,0.676,0.5355
12354500,27736.20291,0.115884116,170102,17010204,0.718,0.647,0.77,0.6445,0.682,0.63,0.717,0.597
12342500,821.02683,0.113886114,170102,17010205,0.67,0.611,0.709,0.63,0.68,0.607,0.689,0.477
12343400,986.78619,0.814185814,170102,17010205,0.699,-0.1115,0.647,0.378,0.825,0.012,0.702,0.375
12344000,2716.89951,0.113886114,170102,17010205,0.771,0.704,0.769,0.643,0.778,0.723,0.745,0.595
12346500,227.401122,0.86013986,170102,17010205,0.631,0.3665,0.588,0.411,0.655,0.418,0.778,0.361
12350250,5084.15037,0.512487512,170102,17010205,0.723,0.014,0.775,-0.071,0.73,0.008,0.777,0.5235
12351200,6096.83646,0.564435564,170102,17010205,0.693,0.579,0.701,0.573,0.747,0.569,0.762,0.551
12352500,7288.23186,0.113886114,170102,17010205,0.742,0.652,0.768,0.635,0.74,0.685,0.756,0.574
12355500,4009.30452,0.195804196,170102,17010206,0.776,0.721,0.773,0.665,0.771,0.703,0.798,0.71
12355000,1105.92573,0.195804196,170102,17010206,0.744,0.689,0.728,0.605,0.722,0.65,0.758,0.675
12358500,2921.50872,0.170829171,170102,17010207,0.756,0.722,0.747,0.652,0.723,0.691,0.738,0.681
12363000,11561.71536,0.163836164,170102,17010208,0.728,0.6955,0.763,0.686,0.685,0.601,0.72,0.606
12359800,3004.3884,0.377622378,170102,17010209,0.757,0.045,0.747,-0.454,0.735,0.037,0.753,0.563
12362500,4307.15337,0.160839161,170102,17010209,0.293,0.229,0.345,0.279,0.274,0.207,0.365,0.206
12365000,1357.15476,0.73026973,170102,17010210,0.515,0.312,0.642,0.431,0.526,0.3115,0.551,0.311
12366000,440.2983,0.73026973,170102,17010210,0.651,0.39,0.773,0.597,0.682,0.329,0.714,0.518
12370000,1737.88329,0.156843157,170102,17010211,0.757,0.717,0.796,0.702,0.743,0.696,0.712,0.662
12383500,17.8191312,0.519480519,170102,17010212,0.741,0.705,0.809,0.728,0.753,0.703,0.742,0.675
