,daylength,sw_rad_mean,sw_rad_stdDev,tmax_max,tmax_mean,tmax_min,tmax_stdDev,tmin_max,tmin_mean,tmin_min,tmin_stdDev,vp_mean,vp_stdDev,p_max,p_mean,p_min,p_stdDev,p_sum,prism_tmax_max,prism_tmax_mean,prism_tmax_min,prism_tmax_stdDev,prism_tmin_max,prism_tmin_mean,prism_tmin_min,prism_tmin_stdDev,tdmean_max,tdmean_mean,tdmean_min,tdmean_stdDev,vpd_max_max,vpd_max_mean,vpd_max_min,vpd_max_stdDev,vpd_min_max,vpd_min_mean,vpd_min_min,vpd_min_stdDev,scf,Q_06191500,Q_06192500,Q_06200000
2000-06-01,55236.38771006248,582.9302864618271,25.843013018849767,28.263348916718197,22.324276153131013,13.824889633076287,4.621604859661693,8.189870329250503,3.72466316475926,-1.8311609419287755,3.4639802033122216,615.4588940044456,121.68231539017242,0.906984900233142,0.012074756459709656,0.0,0.07642056196296608,3.6431019892327363,27.416526829526447,20.746686138552327,12.67930816687702,4.965016111973291,9.031562162977153,3.812155142088753,-1.0780565902995745,3.53202266825729,2.852935035422343,0.4562911102437441,-2.8267786806778443,1.9013795276793013,5.653448874112367,2.276374690074421,0.7458842966805138,1.7166815994120437,5.653448874112367,2.276374690074421,0.7458842966805138,1.7166815994120437,0.6195351931173393,12100.0,13366.666666666666,1820.0
2000-06-08,55629.805914107295,413.304600359556,92.90968301155823,26.1046853521958,18.335142019856733,13.96998334154965,3.8608748983766943,8.448141259656131,5.922284752613102,4.137709126268467,1.4970015106105938,797.1886499791397,79.52383988343519,5.584208250495123,0.10875503374713186,0.0,0.4716802639566273,36.19579809787201,28.03169943713514,19.05817086472591,13.229136622353733,5.096280221463332,9.219884739798054,6.488884889670973,4.540594783485724,1.6925793585180189,4.0156942590590665,1.577173692178956,-1.100919630573852,1.6419496285556932,5.629495620035922,2.7040176394145274,1.0710972568254975,1.5991340645253969,5.629495620035922,2.7040176394145274,1.0710972568254975,1.5991340645253969,0.34151199023128903,12971.42857142857,14628.57142857143,3060.0
2000-06-15,55800.91229972377,411.04346368618604,110.98201148052108,22.841359887387906,17.447742358208608,12.115842431036596,3.5815905345363723,5.895639713616872,3.71825954695244,1.6357768228656169,1.5118370479828092,731.3267231874939,108.71538798108116,3.766673442295304,0.10256872338620572,0.0,0.4003245210934444,33.974572140588194,23.12203184628931,15.906519380949748,11.769105364530056,3.51613278296214,6.8633941357126735,4.189469752627438,2.060943095020479,1.6648178857385,4.12619087222639,1.3098075472279858,-0.2581135765174852,1.5505600437427527,2.876997178772989,1.450756469331001,0.6170241240728944,0.7596014691928643,2.876997178772989,1.450756469331001,0.6170241240728944,0.7596014691928643,0.2526934690882027,10191.42857142857,11600.0,2090.0
2000-06-22,55768.593496751004,465.15119323482674,64.59659756818344,23.049374937349835,20.482327857535914,17.170540058632405,2.1714643904100823,7.722524233193983,5.268062541081144,2.5107155128713856,1.7268361091551878,815.6048179967291,113.34451421350838,4.114008417445128,0.07706285756584623,0.0,0.4049409613620943,25.345551444243394,23.00996553788105,20.077519896948427,16.00028416139781,2.5784426705248817,7.801243492967937,5.888297967959661,3.7947293302726375,1.4002967592035906,5.651107120770006,3.4173376767462798,1.8394439062914127,1.2627230776420428,3.531491609450635,1.4774752674665659,0.4737226398619145,0.9710117363462848,3.531491609450635,1.4774752674665659,0.4737226398619145,0.9710117363462848,0.3687501051533579,8987.142857142857,9802.857142857143,1852.857142857143
2000-06-29,55509.197765205994,490.1632889136461,53.09190125411968,27.187182606312128,24.17054932825763,19.95659440023766,2.210311241716245,9.399072894612539,7.209323570179442,4.964927735060049,1.3272510911653406,895.8140978421445,95.1023150758958,4.294590423094278,0.07896332234470667,0.0,0.3624734003423416,26.531676346763355,27.42550581690064,23.75070307205532,19.288533119540546,2.3870628309802537,9.662021390219776,7.677795495527039,5.418167001578811,1.3337313195618845,6.7253969240131335,3.835942741338106,1.2335799575798292,2.083295941757332,6.0183373312622095,2.6921155541406794,1.2694205170025803,1.6236394174379891,6.0183373312622095,2.6921155541406794,1.2694205170025803,1.6236394174379891,0.37073533621272936,7315.714285714285,8034.285714285715,1802.857142857143
2000-07-06,55038.552783030915,505.1114105856796,39.028456400596205,28.336183447722,25.46408532381341,23.148972207743988,1.6620078364918154,9.406359023464203,7.602818044480562,5.814925564083199,1.1603185218913186,905.631775869994,84.26452115299149,1.7555732371497301,0.017842605211091413,0.0,0.13650051215161918,5.995115344957672,26.76056626728569,24.61017675820257,22.760630186090328,1.2466927929427165,9.716124536044775,7.8246121098151775,6.1766694158270825,1.1414507402955163,5.867709888859691,4.1314432378549935,2.0668549061383974,1.3674028626064063,4.005322359364877,2.608595526517413,1.3981837837023496,0.8603310898365788,4.005322359364877,2.608595526517413,1.3981837837023496,0.8603310898365788,0.25334191081424057,5511.428571428572,6108.571428571428,1320.857142857143
2000-07-13,54391.3403034387,425.231977698292,84.10765496462028,32.01337813109797,26.285601349954785,21.607293830012285,4.217664562279514,12.069614248683846,10.477197309297816,9.115356284102413,1.0050113675548162,1154.169103939598,94.46558626043337,1.1806005592327875,0.032242199163524464,0.0,0.1353647770323143,10.833378849757278,31.59119764185965,26.553373142122712,21.103613112877113,4.083900276697082,13.211402026988068,11.01353299739836,9.48874799153734,1.1902438913247106,6.774709011165317,2.876585059730592,-0.3663934667535402,2.606873892344955,11.218302936719383,6.2235381535715995,1.8014955636175358,3.1524634650738017,11.218302936719383,6.2235381535715995,1.8014955636175358,3.1524634650738017,0.282253267828457,4238.571428571428,4818.571428571428,782.5714285714286
2000-07-20,53566.491069297794,484.12348670818335,38.084786863569605,30.25062239136577,27.617317539761487,23.574979286379318,2.2247731193052505,10.971113321596324,8.244146386989541,6.5558016541949975,1.5205086793619362,949.289458264159,106.30989597261109,2.685191883451221,0.0373544671846617,0.0,0.22763219051224465,12.551100968294135,30.114243184792752,26.495779112350373,22.18436816879123,2.7269898968041644,10.927283023655916,8.824144875936037,7.5543135011389735,1.2019877896066211,5.890562701764634,1.9904716766776624,-2.0415516837075782,2.721973676476124,8.21369959197475,4.898111304472407,1.7688352345557368,2.3221094314081263,8.21369959197475,4.898111304472407,1.7688352345557368,2.3221094314081263,0.3943220170736545,3580.0,4232.857142857143,450.85714285714283
2000-07-27,52597.84591266973,457.18021947975416,23.95931332572197,32.40851342762569,30.880472814523,29.104168382750824,1.1029951263658202,14.429923011621922,12.132919235979488,10.414232343481023,1.2521325817709938,1218.9703869943028,121.65990623482985,1.149256389184203,0.01533319478826454,0.0,0.09423629474985716,5.1519534306058015,32.032198588964874,30.519942810010015,28.63343772302371,1.1895427462481007,14.209479362834283,12.468350012516206,11.133067230504858,1.052004088987916,5.766956744448057,2.706661435623302,1.4131541422214595,1.5797426225405635,10.974678057785864,8.424787475667587,6.621397218876625,1.4398054087452383,10.974678057785864,8.424787475667587,6.621397218876625,1.4398054087452383,,3011.4285714285716,3600.0,245.71428571428572
2000-08-03,51514.387450466194,417.5261325414673,67.44719519621079,31.26653708108849,27.18472614872449,23.73968598383393,2.4721253866424053,11.548873155808744,9.779837458936065,7.854325220193314,1.2962835519672349,1070.908846146944,147.09748242836397,0.997904455029208,0.012121586661982068,0.0,0.08158141722613105,4.072853125710751,29.151343706544072,26.52736147080605,22.40745448293834,2.4015548371866497,12.612625300511565,10.616940175617565,8.756560149764313,1.3213105356193948,8.82966238864948,3.5243901264372464,-0.6748462387588273,2.9781227479902963,7.6474717710817774,4.941197619737599,1.152864720295449,2.081602555400572,7.6474717710817774,4.941197619737599,1.152864720295449,2.081602555400572,,2645.714285714286,2945.714285714286,143.57142857142858
2000-08-10,50331.532066556276,443.297362258731,37.53686559546203,29.52132301294414,27.41228673879857,25.36972553134875,1.358270628339456,12.817917089768873,8.839149447363756,6.31203048158697,2.1695064745058783,923.9094135228052,185.72289184797881,0.4107499175131792,0.0040675668473852036,0.0,0.03215053230819846,1.3667024662360645,31.105875491574373,27.80638137350769,25.46773973972815,1.7485069018810462,13.137369048090514,9.71118835669802,7.516926343040558,1.8750559325379863,6.303990939877227,0.5069479817573185,-3.9566537570423232,3.2282360718139733,9.06060871679329,6.229167826198879,3.9241661688393896,1.723331949642772,9.06060871679329,6.229167826198879,3.9241661688393896,1.723331949642772,,2252.8571428571427,2535.714285714286,98.28571428571429
2000-08-17,49083.81330974513,425.88005986687796,36.22568212108172,29.117796980251544,24.73476756819442,21.061982014305514,2.4950798877131364,8.790321829895811,6.360880315918517,3.83101308321773,1.702844029954991,725.3389635513144,94.87301285405701,3.1337697423329334,0.037368779803198235,0.0,0.2504991945597048,12.55591006669076,26.765148060543947,23.791188887163816,19.074670152414747,2.3746401111680298,8.62162292404204,6.942226691360836,5.0215087354772425,1.246238295467932,3.060787727980991,-0.7772509943953371,-2.568091954578719,1.7821658667720706,6.2552678516310625,4.738205647832936,3.3698506790409284,1.0625083973844287,6.2552678516310625,4.738205647832936,3.3698506790409284,1.0625083973844287,0.20131879567469424,1928.5714285714287,2105.714285714286,80.0
